name,image,image_local,wiki,icon,icon_local,personality,species,birthday,catchphrase,gender,coffee,milk,milk_numeric,sugar,sugar_numeric,song,style,rank,tier,primary_col,secondary_col,tertiary_col,col_guess_20,col_guess_10
Admiral,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Admiral_poster.png/revision/latest?cb=20200328165653,villager_models/Admiral.png,/wiki/Admiral,https://nookipedia.com/w/images/2/25/Admiral_NH_Icon.png,villager_icons/Admiral.png,Cranky,Bird,January 27th,aye aye,Male,Blue Mountain,Regular milk,2,Two spoons,2,Steep Hill,Unknown,216,5,#009245,#fffdfd,#f89000,Spring Green,Greens
Agent S,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/NH-Agent_S_poster.png/revision/latest?cb=20200410184209,villager_models/Agent S.png,/wiki/Agent_S,https://nookipedia.com/w/images/d/d2/Agent_S_NH_Icon.png,villager_icons/Agent S.png,Peppy,Squirrel,July 2nd,sidekick,Female,Mocha,Regular milk,2,Two spoons,2,Dj K.K.,Sporty,288,6,#0050fc,#91461a,#f4f4f4,Mid Blue,"Mid Blues, Cyans & Teals"
Agnes,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/NH-Agnes_poster.png/revision/latest?cb=20200410185748,villager_models/Agnes.png,/wiki/Agnes,https://nookipedia.com/w/images/c/c4/Agnes_NH_Icon.png,villager_icons/Agnes.png,Sisterly,Pig,April 21st,snuffle,Female,Killimanjaro,Lots of milk,3,Three spoons,3,K.K. House,Rock n roll,137,5,#28282b,#292929,#ffb7b7,Dark Grey/Black,Black and Dark Colours
Al,https://vignette.wikia.nocookie.net/animalcrossing/images/9/90/NH-Al_poster.png/revision/latest?cb=20200328180328,villager_models/Al.png,/wiki/Al,https://nookipedia.com/w/images/e/eb/Al_NH_Icon.png,villager_icons/Al.png,Lazy,Gorilla,October 18th,Ayyeeee,Male,Mocha,Lots of milk,3,Three spoons,3,Steep Hill,Basic,288,6,#f8fd85,#343718,#b37135,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Alfonso,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-Alfonso_poster.png/revision/latest?cb=20200328180336,villager_models/Alfonso.png,/wiki/Alfonso,https://nookipedia.com/w/images/0/0a/Alfonso_NH_Icon.png,villager_icons/Alfonso.png,Lazy,Alligator,June 9th,it'sa me,Male,Mocha,Regular milk,2,Two spoons,2,Forest Life,Basic,86,4,#e59a1b,#ffffff,#f9ae07,Yellow/Ochre,"Yellows, Oranges & Ochres"
Alice,https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-Alice_poster.png/revision/latest?cb=20200328180343,villager_models/Alice.png,/wiki/Alice,https://nookipedia.com/w/images/5/5a/Alice_NH_Icon.png,villager_icons/Alice.png,Normal,Koala,August 19th,guvnor,Female,Mocha,No milk,0,No sugar,0,Surfin' K.K.,Cute,171,5,#fecc66,#d59f2b,#f2f3f3,Pastel Pink/Orange,"Yellows, Oranges & Ochres"
Alli,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/NH-Alli_poster.png/revision/latest?cb=20200328180350,villager_models/Alli.png,/wiki/Alli,https://nookipedia.com/w/images/3/37/Alli_NH_Icon.png,villager_icons/Alli.png,Snooty,Alligator,November 8th,graaagh,Female,Mocha,Regular milk,2,Two spoons,2,K.K. Chorale,Ornate,288,6,#3abbcf,#ffffff,#f5a4dd,Neon Blue/Green,"Mid Blues, Cyans & Teals"
Amelia,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Amelia_poster.png/revision/latest?cb=20200410191249,villager_models/Amelia.png,/wiki/Amelia,https://nookipedia.com/w/images/c/cd/Amelia_NH_Icon.png,villager_icons/Amelia.png,Snooty,Eagle,November 19th,cuz,Female,Blue Mountain,Lots of milk,3,Three spoons,3,K.K. Condor,Ornate,217,5,#feffff,#d80909,#a2befc,White/Lightest Pastel,White/Light Pastels
Anabelle,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/NH-Anabelle_poster.png/revision/latest?cb=20200328180403,villager_models/Anabelle.png,/wiki/Anabelle,https://nookipedia.com/w/images/d/d1/Anabelle_NH_Icon.png,villager_icons/Anabelle.png,Peppy,Anteater,February 16th,snorty,Female,Killimanjaro,Little milk,1,One spoon,1,Aloha K.K.,Cute,172,5,#fec504,#fffee3,#fe6300,Yellow/Ochre,"Yellows, Oranges & Ochres"
Anchovy,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/NH-Anchovy_poster.png/revision/latest?cb=20200328180410,villager_models/Anchovy.png,/wiki/Anchovy_(villager),https://nookipedia.com/w/images/6/62/Anchovy_NH_Icon.png,villager_icons/Anchovy.png,Lazy,Bird,March 4th,chuurp,Male,Blue Mountain,Regular milk,2,Two spoons,2,K.K. Ragtime,Flashy,288,6,#e0670c,#f2f2f2,#fcbb00,Red,Reds
